Russian Cyrillic: Ь	ь<br>'<br>(Soft sign)
- Сколько времени Евчений тратит на дорогу?<br>- Дорога на работу у него занимает пятнадцать минут.	- ¿Cuánto tiempo tarda Yevgeny por el camino?<br>- El trayecto al trabajo le lleva 15 minutos.
- Заходит ли куда-нибудь Евчений по пути на работу?<br>- Каждое утро он заходит в магазин купить кофе и булочку.	- ¿Se para Yevgeny en algún lugar de camino al trabajo?<br>- Cada mañana para en una tienda a comprar café y una magdalena.
- Что есть в зале?<br>- В этой комнате есть много мевели.	- ¿Qué hay en el salón?<br>- En esa habitación hay muchos muebles.
- Что стоит в правом углу комнаты?<br>- В правом углу комнаты стоит диван. Он большой и удобный.	- ¿Qué hay en la esquina derecha de la habitación?<br>- En la esquina derecha de la habitación hay un sofá. Es grande y cómodo.
Время летит, но помни - ты навигатор.	El tiempo vuela, pero recuerda: tú eres el piloto.
Ты не знаешь куда упадёт твоя тень.	No sabes dónde caerá tu sombra.
Твоя поэма худшая в классе.	Tu poema es el peor de la clase.
Учитель: Сколько книг ты закончил этим летом?<br>Ученик: Ни одной. Мой брат украл мою коробку с карандашами.	Maestro: ¿Cuántos libros terminaste este verano?<br>Alumno: Ni uno. Mi hermano me robó la caja de los lápices.
- Есть ли что-нибудь на стене напротив дивана?<br>- Напротив дивана на стене висит телевизор.	- ¿Hay algo en la pared frente al sofá?<br>- Frente al sofá un televisor cuelga de la pared.
- Много цветов у Ани в этой комнате? Где они находятся?<br>- Много цветов в вазах стоят на полу около окна.	- ¿Ana tiene muchas flores en su habitación? ¿Dónde se encuentran?<br>- Hay muchas flores en jarrones en el suelo junto a la ventana.
- Что ещё есть на стенах зала?<br>- Несколько картин, которые Аня сама соткала, висит на стенах комнаты.	- ¿Qué más hay en las paredes del salón?<br>- Algunas imágenes que Ana misma ha tejido cuelgan de las paredes del salón.
- Что расположено в углу комнаты?<br>- В углу расположен домик Аниной кошки.	- ¿Qué está situado en la esquina de la habitación?<br>- En la esquina se encuentra la casita de la gata de Ana.
- Где стоит DVD?<br>- Он стоит под телевизором на тумбочке.	- ¿Dónde está el DVD?<br>- Está bajo el televisor, en la mesita de noche.
- Что находится слева от дивана?<br>- Слева от дивана стоит книжный шкаф. В нём много разных кинг.	- ¿Qué hay a la izquierda del sofá?<br>- A la izquierda del sofá hay una librería. En ella hay muchos libros diferentes.
- Есть ли столик в комнате?<br>- Да. Он расположен напротив дивана.	- ¿Hay una mesa en la habitación?<br>- Sí. Está situada frente al sofá.
- А что находится в левом углу комнаты?<br>- В левом углу комнаты стоит большое кресло.	- ¿Y qué se encuentra en la esquina izquierda de la habitación?<br>- En la esquina izquierda de la habitación hay un gran sillón.
- Что расположено возле кресла?<br>- Возле кресла стоит торшер.	- ¿Qué está situado junto al sillón?<br>- Junto al sillón hay una lámpara de pie.
- Что для Вас здоровье?<br>- Здоровье для меня - Это моё настроение, внешность и работоспособность.	- ¿Qué es para Ud. la salud?<br>- Para mí la salud es mi estado de ánimo, aspecto y eficacia en el trabajo.
- Что в Вашем понимании здоровый образ жизни?<br>- Это умеренное употребление алкоголя, полноценный сон, занятие спортом, здоровое питание и т.д. (так далее).	- ¿Qué entiende Ud. por un estilo de vida sano?<br>- Es un consumo moderado de alcohol, sueño adecuado, hacer deporte, una dieta sana, etc.
- Как Вы относитесь к куренню?<br>- Негативно, но мой муж и коллеги на работе курят.	- ¿Cuál es su actitud hacia fumar?<br>- Estoy en contra, pero mi marido y compañeros de trabajo fuman.
- Как часто Вы бегаете по утрам?<br>- Я бегаю по утрам каждый день.	- ¿Con qué frecuencia corre Ud. por la mañana?<br>- Corro cada día por la mañana.
- Вы ходите в бассеин? Если да, то, как часто?<br>- Я хожу в бассейи три раза в неделю. Я учусь плавать.	- ¿Va Ud. a la piscina? Si es así, ¿con qué frecuencia?<br>- Voy a la piscina tres veces a la semana. Estoy aprendiendo a nadar.
- Что Вы думаете о правильном питании?<br>- Здоровое питание - это больше фруктов и овощей.	- ¿Qué opina de una dieta adecuada?<br>- Una dieta sana consiste en más frutas y verduras.
- Вы часто бываете на свежем воздухе?<br>- Да, часто. Я с семьёй езжу на природу. Очень полезно бывать на свежем воздухе.	- ¿Está Ud. a menudo en una atmósfera limpia?<br>- Sí, a menudo. Voy con mi familia a la naturaleza. Es muy beneficioso estar en una atmósfera limpia.
В коробке лежат билеты в цирк и зоопарк. Это Гарик оставил их себе на память.	En la caja hay billetes para el circo y el zoo. Garik los guardó como recuerdo.
Однажды он поехал с родителями в Москву. И они пошли вместе в Старый Цирк на Цветном Бульваре.	Una vez fue con sus padres a Moscú. Y fueron juntos al Viejo Circo en el Bulevár Colorido.
Это один из старейших цирков России. Он появился ещё в девятнадцатом веке.	Es uno de los circos más antiguos de Rusia. Existía ya en el siglo diecinueve.
Бульвар, кстати, оказался совсем не цветным. Только позже Гарик узнал, что его так называют, потому что сто лет назад на нём был цветочный рынок.	A propósito, el bulevár resultó no ser en absoluto colorido. Solo después averiguó Garik que lo llaman así porque hace cien años había en él un mercado de flores. 
Да и цирк оказался совсем не старым, а очень современным. С новыми костюмами и декорациями. Там играла современная музыка.	Y el circo resultó no ser viejo en absoluto, sino muy moderno. Con vestuario y decoraciones nuevas. Ponían música moderna.
Гарику было в цирке очень интересно. На арене выступали львы, слоны, пони и говорящие попугаи.	A Garik le pareció el circo muy interesante. A la palestra salieron leones, elefantes, ponis y papagayos parlanchines.
Но Гарику больше всего понравились клоуны и фокусники. Клоуны были очень смешными, а фокусники оченч загадочнымы.	Pero a Garik le gustaron más que nada los payasos y los magos. Los payasos eran muy graciosos y los magos muy misteriosos.
Они сначала глотали шарики, а потом находили их у зрителей. Все были в восторге. И Гарик тоже.	Primero se tragaban bolas y después las encontraban entre los espectadores. Todos estaban entusiasmados. Y Garik también.
А на следующий день Гарик с родтелями ходил в Московский зоопарк. В нём находится более тысячи разных животных: белые медведи, слоны, тигры, обезьяны, волки, лисы, жирафы, крокодилы, дельфины.	Y al día siguiente Garik fue con sus padres al zoo de Moscú. En él se encuentran más de mil animales diferentes: osos blancos, elefantes, tigres, monos, lobos, zorros, jirafas, cocodrilos, delfines.
В огромном аквариуме плавают разные рыбы. А в террариуме лежат ядовитые змеи и черепахи.	En el enorme acuario nadan varios peces. Y en el terrario hay serpientes venenosas y tortugas.
В зоопарке есть и домашине животные: овцы, коровы, лошади, кролики, морские свинки.	En el zoo hay también animales domésticos: ovejas, vacas, caballos, conejos, conejillos de indias.
А ещё Гарик увидел много птиц, о которых раньше только читал в книжках. Аисты, журавли, совы, ястребы, орлы - тоже жители Московского зоопарка.	Además Garid vio muchas aves, de las que antes solo había leído en libros. Cigüeñas, grullas, búhos, halcones, águilas; habitantes también del zoo de Moscú.
Сегодня Гарик плохо помнит этот поход в зоопарк. Он часто ходит в зоопарк в Берлине.	Hoy en día Garik apenas recuerda esa excursión al parque. Él va a menudo al zoo de Berlín.
 Он был в зоопарке в Ганновере и во Франкфурте, в Гамбурге и в Кёльне. А о своём первом походе в зоопарк в Москве он почти забыл.	Ha estado en el zoo de Hanover y de Frankfurt, de Hamburgo y de Colonia. Y casi ha olvidado su primera excursión al zoo de Moscú.
Только маленькие билеты в коробке на чердаке напоминают ему об этих днях.	Solo los pequeños billetes de la caja en el desván le recuerdan aquellos días.
- Еда должна быть полезной?<br>- Да, потому что это основа нашего здоровья.	- ¿La comida debe ser saludable?<br>- Sí, porque es la base de nuestra salud.
- Что Вы обычно едите на завтрак?<br>- Я обычно ем вареные яйца, бутерброды и кофе.	- ¿Qué suele Ud. comer de desayuno?<br>- Suelo comer huevos cocidos, bocadillos y café.
- Что Вы предпочитаете на обед?<br>- Обычно я ем суп, стейк с картофелем и салат.	- ¿Qué prefiere Ud. para el almuerzo?<br>- Suelo comer sopa, filete con papas y ensalada.
- Не пропускаете ли полдник? Если нет, то что едите?<br>- На полдник можно выпить чай с пирожным.	- ¿No se salta Ud. la merienda? Si no es así, ¿qué come?<br>- De merienda puede que beba té con galletas.
- Вы обычно ужинаете дома или ходите в кафе?<br>- Я очень вкусно готовлю, поэтому обычно ужинаю дома.	- ¿Suele cenar en casa o va al café?<br>- Yo cocino muy bien, por eso suelo cenar en casa.
- Что Вы готовите на ужин?<br>- Я готовлю рыбу или мясо с гарниром.	- ¿Qué cocina Ud. para la cena?<br>- Cocino pescado o carne con guarnición.
- Вы лювите десерт? Что именно?<br>- После ужина я люблю съесть мороженое.	- ¿Le gustan los postres? ¿Qué en particular?<br>- Después de la cena me gusta comer helado.
- Перед сном Вы, что-нибудь едите?<br>- Да. Перед сном я люблю выпитъ стакан тёплого молоко с мёдом.	- ¿Cóme Ud. algo antes de dormir?<br>- Sí. Antes de dormir me gusta beber un vaso de leche tibia con miel.
- Вы часто ходите в ресторан?<br>- Мы с мужем ходим в ресторан по выходным.	- ¿Va a menudo al restaurante?<br>- Voy con mi marido al restaurante el fin de semana.
- В каком ресторане Вы были последний раз?<br>- Последний раз мы были в итальянском.	- ¿En qué restaurante estuvieron la última vez?<br>- La última vez estuvimos en un italiano.
- Что Вы там заказывали?<br>- Мы там заказывали лазанью. Было очень вкусно.	- ¿Qué encargaron allí?<br>- Pedimos lasaña. Estaba muy rica.
- Вы любите мороженое? Какое Ваше самое любимое?<br>- Да, очень люблю мороженое. Фисташковое моё самое любимое.	- ¿Le gusta el helado? ¿Cuál es su favorito?<br>- Sí, mucho. Mi favorito es el de maní.
Практика - лучший из всех учителей.	La práctica es el mejor de los maestros.
Никогда не объяснаяй завтра того, что можно сдрыть сегодня.	Nunca aclares mañana lo que puedas enmarañar hoy.
Жизнь - это тайна которую надо прожить, а не проблема которую надо решить.	La vida es un misterio que vivir, no un problema que resolver.
- У Вас есть какое-нибудь хобби?<br>- У меня два любимых хобби. Это вушивка и веб-дизайн.	- ¿Tiene Ud. algún hobby?<br>- Tengo dos hobbys favoritos. Son bordar y el diseño web.
- Как давно Вы вышиваете?<br>- Я начала вышивать шесть лет назад. 	- ¿Cuánto hace que borda?<br>- Empecé a bordar hace seis años.
- В Вашей семье ещё кто-нибудь вышивает?<br>- Моя бабушка прекрасно вышивала. И это умение я унаследовала от неё.	- ¿En su familia borda alguien más?<br>- Mi abuela bordaba. Y he heredado esa habilidad de ella.
- Какая Ваша первая вышитая работа?<br>- Соловьи на яблоне.	- ¿Cuál fue su primera labor de bordado?<br>- Unos ruiseñores en un manzano.
- Что Вы больше всего любите вышивать?<br>- Больше всего я люблю вышивать цветы, птиц и бабочек.	- ¿Qué es lo que más le gusta bordar?<br>- Lo que más me gusta bordar son flores, pájaros y mariposas.
- Что Вы делаете с готовыми работами?<br>- Большая часть висит у меня на стенах дома. Но есть и такие, которые я дарю своим родным и друзьям на праздники.	- ¿Qué hace Ud. con sus trabajos terminados?<br>- La mayor parte cuelga de las paredes de mi casa. Pero hay algunos que regalo a mis parientes y amigos en las fiestas.
- У Вас есть самая любимая Ваша вышивка?<br>- Да. Это огромный букет ромашек в вазе.	- ¿Tiene Ud. un bordado favorito?<br>- Sí, es un enorme ramo de manzanillas en un jarrón.
- Что ещё Вы вышиваете?<br>- У меня много вышитых полотенец и носовых платков.	- ¿Qué más borda Ud.?<br>- Tengo muchas toallas y pañuelos bordados.
- Какие сайты Вы оформляете?<br>- Разные, очень разные. Мой брат программист, и я помогаю ему их оформлять.	- ¿Qué paginas web diseña Ud.?<br>- Muy variadas. Mi hermano es programador y lo ayudo a diseñarlas.
- Используете ли Вы фотошоп в веб-дизайне?<br>- Я очень хорошо владею фотошопом и это очень помогает в работе.	- ¿Usa Ud. Photoshop en el diseño de webs?<br>- Soy experta en usar Photoshop y eso me ayuda mucho en el trabajo.
- Много ли Вы времени уделяете веб-дизайну?<br>- Примерно десять часов в неделю я занимюсь веб-дизайном.	- ¿Pasa mucho tiempo haciendo diseño web?<br>- Dedico unas diez horas a la semana al diseño de webs.
- Как часто Вы вышиваете?<br>- Всё оставшееся время я провожу за вышивкой.	- ¿Con qué frecuencia borda?<br>- Paso el resto de mi tiempo libre bordando.
- Какие виды искусства Вы любите?<br>- Я люблю театр, кино, изобразительное искусство, вышивку и т.д.	- ¿Qué clases de arte le gustan?<br>- Me gusta el teatro, el cine, las bellas artes, el bordado, etc.
- Что Вы умеете делать?<br>- Я умею вышивать.	- ¿Qué sabe hacer Ud.?<br>- Sé bordar.
Лучше поздно, чем никогда.	Más vale tarde que nunca.
- Какие музей Вы посещаете?<br>- Я была в Эрмитаже.	- ¿A qué museos va Ud.?<br>- He estado en el Ermitage.
- Каких знаменитых художников Вы знаете?<br>- Я знаю Пикассо, Ван Гога, Шишкина, Айвазовского и т.д.	- ¿Qué pintores famosos conoce?<br>- Conozco a Picasso, Van Gogh, Shishkin, Avazovsky, etc.
- А какой Ваш любимый художник?<br>- Мой любимый художник Аивазовский.	- ¿Quién es su pintor favorito?<br>- Mi pintor favorito es Aivazovsky.
- Вы умеете рисовать? Если да, то что?<br>- Я умею рисовать природу и людей.	- ¿Sabe Ud. dibujar? Si es así, ¿qué dibuja?<br>- Sé dibujar la naturaleza y la gente.
- Вы часто ходите в театр?<br>- Нет, не часто, но хотелось бы чаще.	- ¿Va a menudo al teatro?<br>- No, no a menudo pero me gustaría ir más frecuentemente.
- Какие фильмы Вам больше нравятся?<br>- Я люблю комедии, драмы и триллеры.	- ¿Qué películas le gustan más?<br>- Me gustan las comedias, los dramas y los thrillers.
- Вы обычно смотрите фильмы дома или в кинотеатре?<br>- Я обычно смотрю фильмы дома.	- ¿Suele ver películas en casa o en el cine?<br>- Suelo ver películas en casa.
- С кем Вы обычно ходите в театр?<br>- Обычно я хожу в театр с мужем, а иногда с мамой.	- ¿Con quién suele ir al teatro?<br>- Suelo ir al teatro con mi marido y a veces con mi madre.
Самое холодное место в мире - это русская деревня Оймякон. Эта деревня находится на Востоке. Там живёт около 500 (пятисот) человек.	El lugar más frío del mundo es el pueblo ruso de Oymyakón. Este pueblo se encuentra en el este. Allí viven alrededor de 500 personas.
Зимой обычная температура - минус 50 (пятьдесят) градусов. Однажды в этой деревне было минус 71 (семьдесят один) градус! Но жители деревни привыкли к холоду. Здесь все друг друга знают. Все друг другу помогают.	En invierno la temperatura habitual es de -50 grados. ¡Una vez en este pueblo hubo menos 70 grados! Pero los habitantes del pueblo están acostumbrados al frío. Aquí todos se conocen (los unos a los otros). Todos se ayudan (los unos a los otros).
Любимое место встречи - в магазине, где продают свежий хлеб. В деревне нет бара, так как после 18:00 (шести) часов нельзя продавать ни водку ни пиво. Пьяный человек может умереть на улице от холода очень быстро...	El lugar favorito de encuentro es la tienda, donde venden pan fresco. En el pueblo no hay bar, ya que después de las 18.00h no se puede vender ni vodka ni cerveza.  Una persona borracha puede morir en la calle de frío muy rápido... 
Зимой день длится всего 3 (три) часа. А летом светло  даже ночью. В марте в деревне бывает фестиваль. На этот фестиваль приезжает много иностранцев. Они хотят почувствовать, что такое -50 (минус пятьдесят) градусов.	IEn invierno el día dura sólo 3 horas. Y en verano es de día incluso por la noche. En marzo en el pueblo hay un festival. A este festival vienen muchos extranjeros. Ellos quieren sentir lo que son esos -50 grados.
Cанкт-Петербург - это один из самых красивых городов России. Он был основан императором Петром I (первым). Император решил построить город здесь, чтобы открыть для России «окно в Европу». 	San Petersburgo es una de las ciudades más bonitas de Rusia. Fue fundada por el emperador Pedro I. El emperador decidió construir allí (aquí) una ciudad, para abrir "una puerta a Europa" para Rusia.
Раньше на этом месте было болото, поэтому построить город было очень трудно. Очень много людей умерло, когда строили этот город. Поэтому говорят, что это «город на костях».	Antes, en ese lugar había un pantano, por eso construir una ciudad fue muy difícil. Muchísima gente murió, durante la construcción de esta ciudad. Por eso se dice, que esta es una "ciudad sobre huesos".
В Санкт-Петербурге есть очень много красивых дворцов, музеев и церквей. Здесь находится известная янтарная комната. Летом в Санкт-Петербурге бывают «белые ночи». 	En San Petersburgo hay muchísimos palacios, museos e iglesias hermosas. Aquí se encuentra la famosa “Cámara de Ámbar”. En verano en San Petersburgo se tienen lugar las “noches blancas”.
Это дни, когда ночью на улице почти так же светло, как днём. Это самое популярное время для туристов. Ночью на улицах много людей и кажется, что весь город не спит.	Esos son los días cuando por la noche en la calle es casi tan luminoso como por el día. Esta es la temporada más popular para los turistas. Por la noche hay mucha gente por las calles y parece que toda la ciudad no duerme.
Баня - это место, куда русские люди ходят, чтобы расслабиться, встретиться с друзьями и помыться. Баня очень похожа на сауну, но имеет свои особенности. Каждый турист должен сходить в баню!	La sauna rusa es el lugar al los rusos van para relajarse, encontrase con amigos y lavarse. La banya es muy parecida a una sauna, pero tiene sus peculiaridades. ¡Todo turista debe visitar una banya!
Настоящая баня - это очень хорошо́ для здоровья и очень интересно. Итак, в чём разница между баней и обычной сауной? Самое главное - это веник. Веник - это связка молодых веток какого-нибудь дерева (обычно берёзы, пихты или дуба). Русские любят брать в баню веник из берёзы и массажировать им друг друга. Это приятно и полезно для здоровья.	La auténtica banya es muy buena para la salud y muy interesante. Así que, ¿cuál es la diferencia entre una sauna rusa y la sauna común? Lo más importante es el “venik”. Un venik es un manojo de ramitas verdes de diferentes árboles (sobre todo abedules, abetos y robles). A los rusos les encanta llevar a la banya un venik de abedul y masajearse mutuamente con él. Esto es agradable y bueno para la salud.
Люди сидят в бане долго, до того момента, когда им так жарко, что они уже не могут терпеть. Тогда они выбегают из бани на улицу и прыгают в снег, чтобы охладиться. <br>В современных банях есть бассеин вместо снега. В этом бассеине вода очень холодная. После бани русские любят пить чай и разговаривать.	La gente se queda en la banya mucho tiempo, hasta el punto en el que tienen tanto calor, que ya no pueden aguantar más.Entonces salen corriendo de la banya a la calle y saltan a la nieve para enfriarse. En las banyas modernas hay una piscina en lugar nieve. En esta piscina, el agua está muy fría. Después de la banya a los rusos les gusta tomar te y charlar.
- А как твой лучший друг выглядит?<br>- Он высокий. У него светлые волосы и голубые глаза. Я считаю, что он очень симпатичный.<br>	- ¿Y cómo es tu mejor amigo?<br>- Es alto. Tiene el pelo claro y ojos azules. Yo creo que es muy guapo.
- Почему он тебе нравится?<br>- Он настоящий оптимист. Если у меня есть проблема, он всегда знает, что сказать. Он очень спокойный. Ещё у него отличное чувство юмора.	- ¿Por qué te gusta?<br>- Es un auténtico optimista. Si tengo un problema, él siempre sabe qué decir. Es muy tranquilo. Además tiene un sentido del humor sensacional.
 Привет! Ты новенькая здесь?<br>- Привет! Да, сегодня мой первый день в школе. 	- ¡Hola! ¿Eres nueva aquí?<br>- ¡Hola! Sí, hoy es mi primer día en la escuela.
- Ты очень хорошо говоришь по-русски.<br>- Спасибо. Моя лучшая подргуга - русская и она меня учит.<br>- Везёт тебе. Наверное мне тоже нужен русский друг, чтобы говорить лучше.<br>	- Hablas ruso muy bien.<br>- Gracias. Mi mejor amiga es rusa y me enseña.<br>- Tienes suerte. Probablemente también me hace falta encontrar un amigo ruso para hablar mejor.
- Дайте, пожалуйста, два пива.<br>- Какое пиво? Тёмное или светлое? 	- Deme dos cervezas, por favor.<br>- ¿Qué tipo de cerveza? ¿Negra o rubia?
- Какое пиво? Покажите пальцем.<br>- Вот это за 50 (пятьдесят) рублей.	- ¿Qué cerveza? Señale con el dedo.<br>- Esta por 50 rublos.
Одно из самых известных привидений Санкт-Петербурга - это привидение императора Павла Первого. Это привидение живёт в Михайловском замке, где жил и был убит император. 	Uno de los fantasmas más famosos de San Petersburgo es el fantasma del emperador Pablo I. Este fantasma vive en el Castillo Mijailovski, donde el emperador vivió y fue asesinado. 
Однажды во время бала император вдруг упал в обморок. Когда он пришёл в себя, то посмотрел на всех гостей безумным взглядом и сказал: "Неужели меня задушат?"  В результате именно так всё и случилось	Un día durante un baile, el emperador de repente se desmayó. Cuando volvió en sí, miró a todos los invitados con cara de loco y dijo "¿Realmente me van a estrangular?" Al final, precisamente así ocurrió.
Когда императору было 47 (сорок семь) лет, он был задушен в своём замке. За несколько дней до смерти, он говорил, что видит кровь на белых стенах своей спальни. После смерти императора в замке долгое время никто не жил. Город был полон страшных историй о привидении. 	Cuando el emperador tenía 47 años, fue estrangulado en su propio castillo. Unos días antes de su muerte, decía que veía sangre en las paredes blancas de su dormitorio. Después de la muerte del emperador, durante mucho tiempo nadie vivió en el palacio. La ciudad se lleno de historias terroríficas acerca del fantasma.
Сейчас в Михайловском замке находится Русский музей. Сотрудники музея не любят оставаться там вечером. Они говорят, что в пустом дворце открываются и закрываются двери и скрипит пол. Охранники иногда видят фигуру человека со свечой в руке. Когда это случается они тихо говорят ей: «Доброй ночи, Ваше Величество».	Hoy en día en el Castillo Mijailovski se encuentra el Museo del Estado Ruso. A los trabajadores del museo no les gusta quedarse después de la tarde. Dicen que, en el palacio vacío, las puertas se abren y cierran y que el suelo cruje. Los guardas nocturnos a veces ven una figura humana con una vela en la mano. Cuando esto ocurre, suavemente le dicen: "Buenas noches alteza".
- Здравствуйте! Я хотела бы постричься.<br>- Садитесь, пожалуйста. Какую стирижку Вы хотите?<br>	- ¡Hola! Querría cortarme el pelo.<br>- Siéntese por favor. ¿Qué corte de pelo querría?
- Я хотела бы стрижку как у девушки на этой фотографии. Смотрите: у неё есть чёлка и короткие волосы. Как вы думаете, эта стрижка мне будет к лицу?<br>- Думаю да. У Вас овальное лицо и чёлка должна быть Вам к лицу. Но Вы блондинка, а девушка на фотографии - брюнетка. Вы хотите покрасить волосы?	- Querría un corte de pelo como la chica en esta fotografía. Mire: ella tiene flequillo y el pelo corto. ¿Qué piensa usted, este corte de pelo me sentará bien?<br>- Pienso que sí. Usted tiene la cara ovalada y el flequillo debería quedarle bien. Pero usted es rubia y la chica de la fotografía, morena. ¿Quiere teñirse el pelo?
- Я хотела бы покраситься в рыжий цвет. Что Вы думаете?<br>- Думаю, что рыжий Вам не идёт. Может быть тёмно-рыжий. Как в этом журнале. Вам нравится такой цвет?	- Querría teñirme el pelo pelirrojo, ¿Qué piensa?<br>- Creo que el pelirrojo no va con usted. Tal vez un rojo oscuro. Como en esta revista. ¿Le gusta este color?
- Ты знаешь, я теперь хожу на уроки фигурного катания!<br>- Правда? И как тебе?<br>- Супер! Я в полном восторге! Сначала мы учимся танцевать в зале, а потом идём практиковать на льду.	- ¿Sabes? Ahora voy a clases de patinaje artístico.<br>- ¿De verdad? ¿Y qué tal?<br>- ¡Genial! ¡Estoy completamente encantada! Al principio aprendemos a bailar en una sala y luego vamos a practicar sobre hielo. 
- Это очень красивый спорт. Почему бы тебе не начать заниматься со мной?<br>- Я? Ни за что! Во-первых, я не люблю, когда холодно. А во-вторых, это очень опасно. Можно упасть и сломать что-нибудь.	- Es un deporte muy bonito. ¿Por qué no empiezas a practicarlo conmigo?<br>- ¿Yo? ¡Por nada del mundo! En primer lugar, no me gusta cuando hace frío. Y en segundo lugar, esto es muy peligroso. Uno se puede caer y romper algo.<br>
- Не будь занудой! Каждый вид спорта немного опасен. Кроме того, после этих курсов все друзья будут нам завидовать!<br>- Это опасно и точка.<br>- Вовсе нет! На коленях есть специальная защита. Это абсолютно безопасно!	- ¡No seas una aburrida! Todo deporte es un poco peligroso. Además, después de estas clases todos nuestros amigos nos envidiarán.<br>- Esto es peligroso y punto.<br>- ¡En absoluto! En las rodillas tienes una protección especial. ¡Es totalmente seguro!
- А что случилось с предыдущей партнёршей?<br>- Ничего страшного... на прошлом уроке я упала на неё и сломала ей руку.	- ¿Y qué le ocurrió a tu anterior pareja?<br>- Nada terrible… en la última clase caí sobre ella y le rompí el brazo.
