Добрый день!	¡Buenos días!
- Мне совестно признаться в этом...<br>- В чём же?<br>- Мне день и ночь покоя не даёт мой чёрный человек. За мною всюду как тень он гонится. Вот и теперь, мне кажется, он с нами сам-третий сидит.	- Me da vergüenza reconocer eso...<br>- ¿Qué?<br>- Mi hombre de negro no me deja en paz ni de día ni de noche. Corre detrás de mí como mi sombra. Ahra mismo, me parece que está con nosotros.
- И полно! Что за страх ребячий? Рассей пустую думу. Бомарше говаривал мне: "Слушай, брат Сальери. Как мысли чёрные к тебе придут, откупорь шампанского бутылку, иль перечти "Женитьбу Фигаро".	- ¡Basta! ¿Qué es ese miedo infantil? Disipa esa vana idea. Beaumarchais solía decirme: "Escucha, Salieri, hermano mío. Cuando te invadan ideas negras, abre una botella de champán, o relee "Las Bodas de Fígaro"."
- Сегодня вечером вы куда-нибудь уходите?<br>- Нет, я никуда не ухожу, посижу дома, поиграю со своим мальчишкой.	- ¿Va Ud. a algún lugar esta noche?<br>- No, no voy a ningún sitio. Estaré en casa, jugaré con mis niños.
- Если вы не переменили намерения путешествовать с нами, мы заедем за вами в пятницу вечером.<br>- Признаться, я ещё не решила. Дайте мне подумать ещё день.	- Si no ha cambiado de opinión sobre viajar con nosotros, pasaremos a recogerla el viernes por la tarde.<br>- Debo reconocer que todavía no me he decidido. Déjeme un día más para pensar.
- Дорогая, я думаю, нам пора одеваться и ехать в гости, нас уже ждут.<br>- Прости, но я не могу решить, какое платье мне сегодня надеть.	- Querida, creo que ya es hora de vestirnos e ir de visita, nos esperan.<br>- Perdona, pero no puedo decidir qué vestido ponerme hoy.
- Ах, вы болтунишка! Вы разболтали все наши тайны.<br>- Уверяю вас, что это не так. Вы ошибаетесь.	- ¡Ah, eres un chismoso! Has divulgado todos nuestros secretos.<br>- Le aseguro que eso no es cierto. Se equivoca.
- Заходите к нам почаще. Мы всегда рады гостям.<br>- К вам я всегда прохожу с удоволствем.	- Venga a vernos más a menudo. Nos alegramos de las visitas.<br>- Siempre vengo a su casa con mucho gusto.
- Странный случай! Весь день змоню домой, и никто не отвечает.<br>- Обычное дело. У детей каникулы, и я не думаю, что они будут сидеть дома.	- ¡Qué caso más extraño! Todo el día llamo a casa y no me contesta nadie.<br>- Es normal. Los niños tienen vacaciones y no creo que se queden en casa.
- Хотите анекдот?<br>- Надеюсь, новый, а не с бородой.<br>- Всё новое - хорошо забытое старое.	- ¿Quieres [que te cuente] un chiste?<br>- Espero que sea nuevo, no "con barba" (muy visto).<br>- Todo lo nuevo es algo viejo bien olvidado.
Так вот, ученика спрашивает учитель анатоми:<br>- Какие зубы появляются у человека в последнюю очередь?<br>- Вставные, Иван Владимирович.	Va el profesor de anatomía y le pregunta a un alumno:<br>- ¿Cuáles son los dientes que aparecen más tarde en el ser humano?<br>- Los postizos, Iván Vladimirovich.
- Кстати, на днях мне вставили два новых зуба. Доктор уверял меня, что они будут как настоящие.<br>- И представляете, он не ошибся, болят как самые настоящие.	- A propósito, hace unos días me pusieron dos dientes nuevos. El médico me aseguró que serían como los verdaderos.<br>- Y fijaos que no se equivocó, me duelen como los más auténticos.
- А вот я однажды спросил знакомого врача: "Это правда, если я буду есть много морковки, то буду лучше видеть?<br>- Я, кажется, знаю, что тебе обветил врач: "А где вы видели кроликов в очках?"	- Pues yo una vez le pregunté a un médico conocido: "¿Es verdad que si como muchas zanahorias, voy a ve mejor?"<br>- Me parece que sé lo que te respondió el médico: "¿Dónde ha visto Vd. conejos con gafas?"
- Давайте я расскажу вам анекдот, который никто из вас, наверняка, не слышал:<br>"Одна дама у входа в кинотеатр дала деньги бедному слепому.	- Ahora os cuento you un chiste que posiblemente ninguno de vosotros ha oído:<br>"Una señora dio dinero a un pobre ciego a la entrada del cine".
И каково же было её удивление, когда в зале рядом с собой она увидела "слепого"!<br>Впрочем, "слепой" не расстерялся: "Простите, я првильно сел, этот автобус идёт на Курский вокзал?"	¡Qué grande fue su sorpresa cuando vio al "ciego" a su lado en la sala!<br>Por su parte, el "ciego" no se inmutó: "Perdone, ¿voy ("me he sentado") bien?, ¿este autobús va a la estación de Kursk?"
- А теперь, анекдот о ресторане. Вот самый последний. Во всяком случае, я ранше не слышал.	- Y ahora un chiste sobre un restaurante. Es el último. En todo caso, no lo había oído antes.
- Официант, - обратился клиент к официанту. У этой курицы одна нога короче другой!<br>- А вы что, с ней собираетесь танцевать?	- Camarero - se dirigió un cliente al camarero - este pollo tiene una pata más corta que la otra.<br>- ¿Y qué?, ¿quiere Vd. bailar con él?
Всё, друзья, вы меня насмешили. С утра я был расстроен, а сейчас всё хорошо. Пора идти работать. Всего хорошего!	Está bien, amigos, me habéis hecho reír. Desde la mañana he estado de mal humor pero ahora todo va bien. Es hora de ir a trabajar. ¡Que tengáis un buen día!
- Какая ночь сегодня! Просто удивительно, ну как спать в такую ночь!<br>- Давай ещё проидёмся. Ты согласен?	- ¡Qué noche la de hoy! Es simplemente sorprendente, pero ¿cómo dormir en una noche así?<br>- Demos una vuelta más. ¿Estás de acuerdo?
- Что за луна в Италии! Я нигде такой не видел.<br>- А я видел на юге Россий, когда путешествовал там в прошлом году.	- ¡Qué luna la de Italia! En ninguna parte he visto nada parecido.<br>- Pues yo la vi en el sur de Rusia, cuando viajé por allí el año pasado.
- Ты неохотно отвешаешь на мои вопросы, но я хочу спросить тебя, чем ты недоволен.<br>- Уверяю тебя, ты ошибаешься. Мне просто ужасно захотелось спать.	- Estás contestando a mis preguntas sin ganas, sin embargo quiero preguntarte de qué estás descontento.<br>- Te aseguro que te equivocas. Simplemente tengo un sueño terrible.
- У меня никогда не бывало такой прекрасной встречи. Я вас благодарю за всё.<br>- Ах боже мой, за что вы меня благорадите? Я сделал то, что долшен был сделать для вас уже давно.	- En mi vida he tenido un encuentro tan bonito. Se lo agradezco todo.<br>- Ah, Dios mío. ¿Por qué me das las gracias? Hice lo que tenía que haber hecho para Vds. ya hace tiempo.
- Проснись, уже утро. На улице пасмурно, но так тепло.<br>- Я знал, что нам сегодня повезёт с погодой. Давай быстро оденемся и в лес.	- Despiértate, ya es de día. Fuera hace un tiempo gris, pero cálido.<br>- Sabí que hoy tendríamos suerte con el tiempo. Vistámonos rápido y vamos al bosque.
- Нечего нет хуже расставания.<br>- Я тоже так думаю.	- Nada es peor que la separación.<br>- Yo pienso lo mismo.
- Я никогда не забуду, что вы для меня сделали!<br>- Ну что вы! Я сделал то, что должен был сделать.	- Nunca olvidaré lo que Vd. hizo por mí.<br>- ¡Pero qué dice! Hice lo que debía hacer.
- Я не прощаюсь с вами.<br>- И я говорю "до свидания".	- No le digo "adiós".<br>- Y yo le digo "hasta la vista".
- Пишите нам, не забывайте нас!<br>- Я вам напишу, как только вернусь домой.	- Escríbanos, ¡no nos olvide!<br>- Es escribiré en cuanto vuelva a casa.
- Поймите меня правильно. Мне грустно с вами растаться. Но что поделаешь, надо уезжать.<br>- Уезжайте, но я к вам обязательно приеду.	- Compréndame bien. Me da pena separarme de Vd., pero ¿qué vamos a hacer? Debo irme.<br>- Váyase Vd., pero iré a verlo sin falta.
- Я думаю, что всё уже кончилось.<br>- Да, как говорят, всё хорошо, что хорошо кончается.	- Creo que está todo acabado.<br>- Sí, como dicen, bien está lo que bien acaba.
- Вы в самом деле решили уехать?<br>- Очень жаль, но это так. Я была счастлива здесь и никогда не забуду ваш город.	- ¿En efecto ha decidido irse?<br>- Es una lástima, pero es cierto. He sido feliz aquí y no olvidaré nunca su ciudad.
- Почему вы говорите вполголоса? Дети ещё не спят.<br>- На работе я иногда кричу, так что дома хочется поговорить тихо.	- ¿Por qué habla Vd. en voz baja? Los niños no duermen aún.<br>- En el trabajo a veces grito, por eso en casa me gusta hablar bajo.
- Вы меня так испугали. Я едва жива от ужаса.<br>- Простите, это была маленкая шутка. Теперь я понимаю, что эта шутка не очень умна. Ещё раз извините меня.	- Me ha asustado mucho. Estoy medio muerta de miedo.<br>- Perdone, ha sido una pequeña broma. Ahora comprendo que no ha sido una broma muy inteligente. Le pido perdón otra vez.
- Он уверяет меня, что ничего не знал об этом странном случае.<br>- Боюсь, что это не так.	- Él me asegura que no sabía nada de ese extraño caso.<br>- Me temo que no sea cierto.
Все его тайны на лице написаны.	Todos sus secretos están escritos en su rostro.
Летом я перегитал "Идиота" Достоевского, а теперь увлекаюсь Чеховым. Мне нравятся его милые и добрые герои, но они так несчастливы.	El verano releí "El Idiota" de Dostoyevski, y ahora me deleito con Chejov. me gustan sus personajes amables y buenos, pero son infelices.
